0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Terlampir bukti-bukti pendukung pembayaran ini,,,,,,,,,,SUSUT AMP/39 L,,,,-1152450,,,,,,,,,,,,,,,,
Mohon Transfer ke:,,,,,,,,5,054,Ongkos Angkut AMP LPG/9 APR 2026,,,,7750000,,,,,,,,,,Terlampir bukti-bukti pendukung pembayaran ini,,,,,,
BRI,,,,,,,,,,PPh 23 ,,8002600128479600.0,14/04/2026,-155000,,,,,,,,,,Mohon Transfer ke:,,,,,,
NO Rek:,013001002256309,,,,,,,,,,,,,,,,,,,,TOTAL,45186500,,BRI,,,,,,
a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,,,,,,,,,,,,,,,,,,,NO Rek:,013001002256309,,,,,
Bayar tgl : 30 Maret 2026,,,,,,,,,,,,,,,,Terlampir bukti-bukti pendukung pembayaran ini,,,,,,,,a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,
,,,,,,,,,,,,,TOTAL,38655300,,Mohon Transfer ke:,,,,,,,,Bayar tgl : 15 Juni  2026,,,,,,
,,,,,,,,,,,,,,,,BRI,,,,,,,,,,,,,,
,,,,,,,,Terlampir bukti-bukti pendukung pembayaran ini,,,,,,,,NO Rek:,013001002256309,,,,,,,,,,,,,
,,,,,,,,Mohon Transfer ke:,,,,,,,,a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,,,,,,,,,
,,,,,,,,BNI,,,,,,,,Bayar tgl : 25 Mei  2026,,,,,,,,,,,,,,
,,,,,,,,No : 692-2915-57,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Bayar tgl : 18 Mei  2026,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Tanggal,,Keterangan,,,Jumlah,,No,Tanggal,,Keterangan,,,Jumlah,,No,Tanggal,,Keterangan,,,Jumlah,,No,Tanggal,,Keterangan,,,Jumlah
1,070,Ongkos Angkut BKI LPG/APR 2026,,,,60000000,,1,129,Ongkos Angkut BKI LPG/JUNI 2026,,,,40000000,,1,145,Ongkos Angkut WMK LPG/JUNI 2026,,,,6000000,,1,150,Ongkos Angkut BKI LPG/JUNI 2026,,,,70000000
,,PPh 23 ,,8002600146864147.0,27/04/2026,-1200000,,,,PPh 23 ,,8002600217034575.0,11/06/2026,-800000,,,,PPh 23 ,,8002600235719243.0,22/06/2026,-120000,,,,PPh 23 ,,8002600241515432.0,29/06/2026,-1400000
,,SUSUT BKI/161 L,,,,-4830000,,2,132,Ongkos Angkut WMK LPG/JUNI 2026,,,,6000000,,,,,,,,,,,,SUSUT BKI/68 L,,,,-1700000
2,074,Ongkos Angkut BKI LPG/APR 2026,,,,40000000,,,,PPh 23 ,,8002600217291300.0,12/06/2026,-120000,,,,,,,,,,2,151,Ongkos Angkut SCK LPG/JUNI 2026,,,,63000000
,,PPh 23 ,,8002600150469840.0,30/04/2026,-800000,,3,135,Ongkos Angkut WMK LPG/JUNI 2026,,,,12000000,,,,,,,,,,,,PPh 23 ,,8002600244607007.0,01/07/2026,-1260000
,,SUSUT BKI/205 L,,,,-6150000,,,,PPh 23 ,,8002600219956899.0,13/06/2026,-240000,,,,,,,,,,,,SUSUT SCK/ 33 L,,,,-828300
3,075,Ongkos Angkut BKI LPG/APR 2026,,,,10000000,,4,136,Ongkos Angkut SCK LPG/JUNI 2026,,,,21000000,,,,,,,,,,3,152,Ongkos Angkut BKI LPG/JUNI 2026,,,,10000000
,,PPh 23 ,,8002600151707172.0,02/05/2026,-200000,,,,PPh 23 ,,8002600219961657.0,13/06/2026,-420000,,,,,,,TOTAL,5880000,,,,PPh 23 ,,8002600244525588.0,01/07/2026,-200000
4,076,Ongkos Angkut SCK LPG/APR 2026,,,,10500000,,5,137,Ongkos Angkut BKI LPG/JUNI 2026,,,,10000000,,,,,,,,,,4,155,Ongkos Angkut BKI LPG/JUNI 2026,,,,50000000
,,PPh 23 ,,8002600151710926.0,02/05/2026,-210000,,,,PPh 23 ,,8002600219967539.0,13/06/2026,-200000,,Terlampir bukti-bukti pendukung pembayaran ini,,,,,,,,,,PPh 23 ,,8012600248848810.0,03/07/2026,-1000000
5,079,Ongkos Angkut BKI LPG/APR 2026,,,,50000000,,,,SUSUT BKI/ 36 L,,,,-900000,,Mohon Transfer ke:,,,,,,,,,,SUSUT BKI/ 35 L,,,,-875000
,,PPh 23 ,,8002600155130168.0,05/05/2026,-1000000,,6,140,Ongkos Angkut BKI LPG/JUNI 2026,,,,30000000,,BRI,,,,,,,,5,157,Ongkos Angkut SCK LPG/JUNI 2026,,,,21000000
6,082,Ongkos Angkut SCK LPG/APR 2026,,,,21000000,,,,PPh 23 ,,8002600228643094.0,18/06/2026,-600000,,NO Rek:,013001002256309,,,,,,,,,PPh 23 ,,8002600248869336.0,03/07/2026,-420000
,,PPh 23 ,,8002600163797374.0,02/05/2026,-420000,,,,SUSUT BKI/ 41 L,,,,-1025000,,a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,,,,,,,,,
